Страны/признаки; Справедливое судопроизводство; Свободные и честные выборы;Многопартийность и существование оппозиции; Наличие реальных политических и социальных прав и свобод граждан;Народовластие;Учёт интересов меньшинства;Разделение властей;Гражданское общество 
США;1;0;0;0;0;0;0;0
Германия                   ;0;0;0;0;0;0;0;0
  Франция;0;0;0;0;0;0;0;0
Беларусь;1;1;1;0;1;0;0;0
Афганистан ;1;1;1;1;1;1;1;1
Китай;0;1;1;0;0;1;1;0
Казахстан;1;1;1;0;1;0;0;0
Канада;0;0;0;0;0;0;0;0
КНДР;1;1;1;1;1;1;0;1
Южная Корея;0;0;0;0;1;0;0;0